,Endothelial cell,Smooth muscle cell
AC007362.3,0.0,0.0
AC007364.1,0.0,0.0
AC007365.1,0.0,0.0
AC007365.3,0.01863684771033014,0.10905125408942203
AC007381.3,0.0,0.0
AC007382.1,0.0,0.0
AC007383.3,0.09052183173588925,0.3635041802980734
AC007383.4,0.013312034078807242,0.03635041802980734
AC007386.2,0.007987220447284345,0.0
AC007386.4,0.0026624068157614484,0.03635041802980734
AC007389.3,0.0026624068157614484,0.0
AC007391.2,0.0026624068157614484,0.03635041802980734
AC007392.3,0.0,0.0
AC007392.4,0.0026624068157614484,0.0
AC007403.2,0.0026624068157614484,0.0
AC007405.4,0.05058572949946752,0.0
AC007405.6,0.22630457933972312,0.5089058524173028
AC007405.8,0.0,0.0
AC007422.1,0.0,0.0
AC007463.2,0.0,0.0
AC007535.1,0.0,0.0
AC007556.3,0.0,0.0
AC007563.3,0.0,0.0
AC007563.5,0.08519701810436635,0.07270083605961468
AC007566.10,0.007987220447284345,0.03635041802980734
AC007620.3,0.013312034078807242,0.03635041802980734
AC007679.3,0.0,0.0
AC007731.1,0.0,0.0
AC007740.1,0.0,0.0
AC007743.1,0.18370607028753994,0.07270083605961468
AC007750.5,0.0,0.0
AC007773.2,0.023961661341853034,0.07270083605961468
AC007796.1,0.0,0.0
AC007879.1,0.0,0.0
AC007879.2,0.005324813631522897,0.0
AC007879.3,0.0,0.0
AC007879.4,0.0026624068157614484,0.07270083605961468
AC007879.5,0.0,0.0
AC007879.6,0.0,0.0
AC007879.7,0.0,0.0
AC007880.1,0.0,0.0
AC007906.1,0.0026624068157614484,0.03635041802980734
AC007950.1,0.0,0.0
AC007950.2,0.029286474973375932,0.03635041802980734
AC007952.4,0.0,0.0
AC007966.1,0.0,0.0
AC007969.5,0.042598509052183174,0.9087604507451835
AC008060.7,0.0,0.0
AC008063.2,0.0026624068157614484,0.0
AC008063.3,0.0,0.0
AC008067.2,0.0,0.0
AC008069.1,0.0,0.0
AC008073.7,0.0,0.0
AC008073.9,0.0,0.0
AC008074.1,0.007987220447284345,0.0
AC008074.3,0.007987220447284345,0.14540167211922936
AC008074.4,0.0,0.0
AC008079.10,0.09584664536741214,0.3635041802980734
AC008079.9,0.0,0.0
AC008088.4,0.0,0.07270083605961468
AC008132.13,0.0,0.0
AC008132.15,0.0,0.0
AC008154.4,0.0,0.0
AC008154.5,0.0,0.0
AC008267.1,0.0,0.0
AC008268.1,0.16773162939297126,0.0
AC008269.2,0.0,0.03635041802980734
AC008271.1,0.0,0.0
AC008277.1,0.0026624068157614484,0.0
AC008278.2,0.0,0.0
AC008440.10,0.0,0.0
AC008440.5,0.021299254526091587,0.03635041802980734
AC008443.1,0.0,0.0
AC008522.1,0.010649627263045794,0.03635041802980734
AC008592.4,0.0,0.03635041802980734
AC008592.7,0.0,0.0
AC008592.8,0.0,0.0
AC008686.1,0.0,0.0
AC008691.1,0.0,0.0
AC008697.1,0.013312034078807242,0.0
AC008703.1,0.0,0.0
AC008746.12,0.01597444089456869,0.03635041802980734
AC008746.3,0.0,0.0
AC008753.4,0.0,0.0
AC008753.6,0.013312034078807242,0.0
AC008781.7,0.013312034078807242,0.0
AC008914.1,0.0,0.0
AC008937.2,0.0,0.0
AC008937.3,0.0,0.0
AC008940.1,0.0,0.0
AC008982.2,0.0,0.0
AC008991.1,0.0,0.0
AC009005.2,0.07987220447284345,0.1817520901490367
AC009014.3,0.029286474973375932,0.2908033442384587
AC009022.1,0.0,0.0
AC009041.2,0.0,0.0
AC009060.2,0.0,0.0
AC009060.3,0.029286474973375932,0.07270083605961468
AC009065.4,0.007987220447284345,0.0
AC009095.4,0.0,0.0
AC009110.1,0.0,0.0
AC009120.10,0.01863684771033014,0.0
AC009120.11,0.01597444089456869,0.0
AC009120.4,0.010649627263045794,0.0
AC009120.5,0.0,0.0
AC009120.6,0.005324813631522897,0.0
AC009121.2,0.0,0.0
AC009133.12,0.19169329073482427,0.3271537622682661
AC009133.14,0.0,0.0
AC009133.15,0.0026624068157614484,0.0
AC009133.17,0.005324813631522897,0.0
AC009133.21,0.01597444089456869,0.07270083605961468
AC009158.1,0.0,0.0
AC009227.2,0.0,0.0
AC009228.1,0.005324813631522897,0.14540167211922936
AC009229.6,0.0,0.0
AC009236.2,0.0,0.0
AC009262.2,0.0,0.0
AC009264.1,0.0,0.0
AC009276.4,0.0,0.0
AC009299.2,0.0026624068157614484,0.0
AC009299.3,0.039936102236421724,0.0
AC009303.1,0.0,0.03635041802980734
AC009312.1,0.0,0.0
AC009313.1,0.0026624068157614484,0.0
AC009336.19,0.0026624068157614484,0.0
AC009365.4,0.0,0.0
AC009403.2,0.30085197018104365,0.8724100327153762
AC009404.2,0.06389776357827476,0.2544529262086514
AC009410.1,0.0,0.0
AC009473.1,0.03194888178913738,0.21810250817884405
AC009478.1,0.0,0.0
AC009480.3,0.021299254526091587,0.03635041802980734
AC009487.4,0.0,0.0
AC009495.2,0.0026624068157614484,0.0
AC009495.3,0.0,0.03635041802980734
AC009495.4,0.0,0.0
AC009501.4,0.09584664536741214,0.1817520901490367
AC009502.4,0.0,0.03635041802980734
AC009505.2,0.0,0.0
AC009505.4,0.0,0.0
AC009506.1,0.19701810436634717,0.7270083605961468
AC009508.1,0.0,0.0
AC009518.4,0.0,0.0
AC009518.8,0.0,0.0
AC009542.2,0.0026624068157614484,0.0
AC009784.3,0.0,0.0
AC009892.10,0.0,0.0
AC009948.5,0.38604898828541,0.8360596146855689
AC009950.1,0.0,0.0
AC009950.2,0.021299254526091587,0.0
AC009955.8,0.0,0.0
AC009961.3,0.13578274760383385,0.10905125408942203
AC010082.2,0.0,0.0
AC010084.1,0.12779552715654952,0.03635041802980734
AC010091.1,0.0,0.0
AC010096.1,0.0,0.03635041802980734
AC010127.3,0.010649627263045794,0.07270083605961468
AC010132.10,0.0,0.0
AC010136.2,0.026624068157614485,0.07270083605961468
AC010149.4,0.0,0.0
AC010226.4,0.16240681576144836,0.9087604507451835
AC010287.1,0.13578274760383385,0.3635041802980734
AC010468.2,0.0,0.0
AC010504.2,0.0,0.0
AC010524.2,0.0026624068157614484,0.0
AC010524.4,0.05591054313099041,0.0
AC010525.4,0.0,0.0
AC010547.9,0.0,0.0
AC010641.1,0.0,0.0
AC010642.1,0.03194888178913738,0.1817520901490367
AC010649.1,0.0,0.0
AC010729.2,0.0,0.0
AC010731.4,0.0,0.0
AC010745.4,0.0,0.0
AC010746.3,0.0,0.0
AC010761.10,0.0,0.0
AC010761.13,0.0,0.0
AC010761.14,0.0,0.0
AC010761.6,0.0,0.0
AC010761.8,0.05058572949946752,0.03635041802980734
AC010761.9,0.0,0.0
AC010883.5,0.01863684771033014,0.1817520901490367
AC010884.1,0.005324813631522897,0.0
AC010890.1,0.0,0.0
AC010894.3,0.06656017039403621,0.21810250817884405
AC010894.5,0.0,0.0
AC010907.2,0.0,0.0
AC010907.5,0.0,0.0
AC010967.2,0.0,0.0
AC010969.1,0.0,0.0
AC010974.3,0.0,0.0
AC010976.2,0.0,0.0
AC010983.1,0.0,0.0
AC010987.5,0.0,0.0
AC010987.6,0.0026624068157614484,0.03635041802980734
AC011043.1,0.14909478168264112,0.4362050163576881
AC011196.3,0.0,0.0
AC011239.1,0.0,0.0
AC011247.3,0.0026624068157614484,0.0
AC011284.3,0.0,0.0
AC011286.1,0.0,0.0
AC011288.2,0.0,0.0
AC011290.4,0.0,0.0
AC011294.3,0.0,0.0
AC011298.2,0.0,0.0
AC011343.1,0.0,0.0
AC011475.1,0.0,0.0
AC011513.4,0.0,0.0
AC011516.2,0.0,0.0
AC011523.2,0.0,0.0
AC011524.1,0.0,0.03635041802980734
AC011525.2,0.0,0.0
AC011526.1,0.021299254526091587,0.0
AC011551.3,0.0,0.0
AC011625.1,0.0,0.0
AC011648.1,0.0,0.0
AC011718.2,0.0026624068157614484,0.0
AC011738.4,0.0,0.0
AC011747.3,0.0,0.0
AC011747.4,0.023961661341853034,0.10905125408942203
AC011752.1,0.0,0.0
AC011841.1,0.0,0.0
AC011893.3,0.0,0.0
AC011899.10,0.0,0.0
AC011899.9,0.04792332268370607,0.03635041802980734
AC011995.1,0.0,0.0
AC011995.3,0.0,0.0
AC011997.1,0.010649627263045794,0.0
AC012005.3,0.0,0.0
AC012005.4,0.0,0.0
AC012065.4,0.0,0.0
AC012065.7,0.0,0.0
AC012074.2,0.005324813631522897,0.0
AC012075.2,0.0,0.0
AC012123.1,0.026624068157614485,0.03635041802980734
AC012146.7,0.010649627263045794,0.21810250817884405
AC012307.2,0.0,0.0
AC012314.20,0.0,0.0
AC012314.8,0.005324813631522897,0.0
AC012317.1,0.0,0.0
AC012322.1,0.0,0.0
AC012354.6,0.0,0.0
AC012358.7,0.0026624068157614484,0.0
AC012358.8,0.10649627263045794,0.3998545983278808
